ESTADO DE GOIÁS,,,,,
SECRETARIA DE SEGURANÇA PÚBLICA E JUSTIÇA,,,,,
POLÍCIA MILITAR DO ESTADO DE GOIÁS,,,,,
3º COMANDO REGIONAL DE POLÍCIA MILITAR,,,,,
31ª COMPANHIA INDEPENDENTE DE POLÍCIA MILITAR - CPE,,,,,
,,,,,
MATERIAL QUÍMICO EXISTENTE NA CARGA DA 31ª CIPM/CPE,,,,,
"                       Na qualidade de Comandante da 31ª CIPM, assumo a responsabilidade de usar e fazer usar com correção os bens, que estão lotados na carga desta UPM, os quais recebi nas formas previstas no Art. 108 combinado com Art. 136 parágrafo 1º, do Decreto 98.820 de 12 de Janeiro de 1990 (RAE), respondendo administrativa, disciplinar e juridicamente pela guarda, proteção dos bens abaixo.",,,,,
TOMBAMENTO,ESTADO DE CONSERVAÇÃO,QTD.,ESPECIFICAÇÃO,VALOR,LOCALIZAÇÃO
N/C,NOVO,44,GRANADA GB 704 MARCA CONDOR - EFEITO MORAL,"0,00",RESERVA DE ARMAS
N/C,NOVO,52,GRANADA GB 707 MARCA CONDOR - LUZ E SOM,"0,00",RESERVA DE ARMAS
N/C,NOVO,10,GRANADA GL 300/T MARCA CONDOR - LACRIMOGÊNIO,"0,00",RESERVA DE ARMAS
N/C,NOVO,9,GRANADA GL 300/TH MARCA CONDOR - LACRIMOGÊNIO,"0,00",RESERVA DE ARMAS
N/C,NOVO,49,GRANADA GL 305/I MARCA CONDOR - LACRIMOGÊNEO,"0,00",RESERVA DE ARMAS
N/C,NOVO,53,GRANADA GL 307 MARCA CONDOR - LUZ E SOM,"0,00",RESERVA DE ARMAS
N/C,NOVO,8,GRANADA GL 308 MARCA CONDOR - PIMENTA,"0,00",RESERVA DE ARMAS
N/C,NOVO,10,GRANADA RJC M11 - EFEITO MORAL (INDOOR),"0,00",RESERVA DE ARMAS
N/C,NOVO,8,GRANADA RJC M11 - EFEITO MORAL (OUTDOOR),"0,00",RESERVA DE ARMAS
N/C,NOVO,8,GRANADA RJC M80 LACRIMOGÊNIO CS (INDOOR),"0,00",RESERVA DE ARMAS
N/C,NOVO,10,GRANADA RJC M80 LACRIMOGÊNIO CS (OUTDOOR),"0,00",RESERVA DE ARMAS
N/C,BOM,1,"MALETA DO KIT TATICO OPERACIONAL, VAZIA","0,00",ALMOXARIFADO
N/C,BOM,54,PROJETIL DE BORRACHA MONOIMPACT MARCA CONDOR - AM 403/P CAL. 12 (CINZA),"0,00",RESERVA DE ARMAS
N/C,BOM,15,PROJETIL DE BORRACHA MONOIMPACT MARCA CONDOR - AM-403/PSR CAL. 12 (AMARELA),"0,00",RESERVA DE ARMAS
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6258798,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259029,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259030,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259031,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259032,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259033,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259034,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259036,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259037,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259038,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259039,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259044,"0,00",ALMOXARIFADO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259045,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259046,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259051,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259052,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259053,"0,00",RESERVA DE ARMAS
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259054,"0,00",ALMOXARIFADO
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259056,"0,00",RESERVA DE ARMAS
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259057,"0,00",CAP BUENO
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259856,"0,00",RESERVA DE ARMAS
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259981,"0,00",RESERVA DE ARMAS
N/C,NOVO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259983,"0,00",RESERVA DE ARMAS
N/C,VAZIO,1,SPRAY DE PIMENTA - RJC G.PIM SERIAL: 6259986,"0,00",RESERVA DE ARMAS
,,,,,
,,,"Base da 31ª CIPM/CPE, em Anápolis-GO, 05 de Dezembro de 2025.",,
,,,,,
,,,Danisclay Ferreira Barros - 1º Tenente PM,,
,,,Chefe do Almoxarifado,,
