placa,descricao
S/PLACA,GM/MONZA COR VERMELHA ANO MODELO 1994 IND. DE GOIANAPOLIS TRANSPORTANDO DROGAS PARA ANAPOLIS
6448,CORSA PRATA VELHO 3 INDIVIDUOS PRATICANDO 157
*****-OGW,MOTO PRETA COM 01 INDIVIDUO ARMADO PRATICOU 157 REGIAO DO BAIRRO PIRINEUS
0409-CFE,FIAT/UNO MILE VERM. ANO 96 - VEICULO FURTADO VISTO NA REGIAO DA JAIARA
0439-KLS,FORD/KA PRATA 98 POSSIVEL CLONE
0503-KDF,GM/CORSA WIND 96/97 VERMELHO UTILIZADO NO FURTO DA HONDA PRETA NWD-3524
0752-PQZ,HONDA/CG150 FAN ESDI 14/15 VERM - EVADIU DA VTR NO POLOCENTRO - SUSPEITA DE SER DOBRA
0813-OGO,HONDA/CG 150 TITAN PRETA 12/12 INDIVIDUOS PRATICANDO 157 UTILIZANDO ARMA DE FOGO
0924-OHK,CG 150 VERM - PROVAVEL PLACA DE MOTO UTILIZADA PARA 157 NA AV.10 DO PROGRESSO
0E32-RBO,HYUNDAI/HB20 ANO 20/20 BRANCA POSSIVEL CLONE NA CIDADE - VEICULO ABORDADO E NAO CONFERE
0H17-NFY,FIAT/ PALIO FIRE / CINZA / 06/07 - ARMA DE FOGO VISTA DENTRO DESTE VEICULO NO SETOR ALEXANDRINA - ABORDADO /NAO PROCEDE
0I98-RMQ,LOGAN PRATA 21/22 - Possivel estelionato a empresa Localiza
1059-PZL,FORD/ ECOSPORT SE 17/17 PRETA PRATICOU 157 BAIRRO VILA GOIS
1144-HGR (DF),HILUX PRATA ANO 06/06 - EVADIU DAS VTRS - POSSIVELMENTE PORTANDO ARMA DE FOGO
1187-NKD,VW GOL 1.0 G4 VERME 2008 UTILIZADO EM ROUBO DE CARGA
1385-OCH (FORTALEZA),VOYAGE PRATA ANO12 PRATICANDO 157 A VEICULOS NA REGIAO
1571-NVQ,RENAULT/LOGAN PRATA 10/11 INDIVIDUO ARMADO - VISTO PELO BL
1573-OGS,FIAT/ UNO MILLE WAY ANO 12/13 /PRATA DE ANPS - UTILIZADO PARA FURTO DE JETSKI EM GYN
1646-OMO (GYN),FIAT/STRADA ADVENTURE CD PRATA 12/13 - ENVOLVIDO EM ROUBO A FAZENDA - RODANDO ANPS - RECUPERADA PELO CPE CMD
1778-GKJ,VW / APOLO GLS. CINZA/6536 ANO 1991 PRODUTO DE 171
1814-PBQ,HONDA CITY BRANCA 2019 MILHAR 0743 - RODANDO EM ANPS PARA PRATICA DE 121 (chinelado)
2047-OMJ,VW GOL 1.6 12/13 G5 BRANCA FURTANDO PNEU DE VEICULOS
2329-KDI,CG/TITAN VERMELHA 99 PRATICANDO 157 NA AREA DAS FACULDADES
2431-QBR (MT),M.BENZ 415 MARIMAR COR BRANCA POSSIVEL AMBULANCIA FALSA P/ TRANSPORTE DE ILICITOS
2451-OGH (GYN),RENALT/LOGAN ANO 11/12 PRETO EVADIU DA VTR DE AREA NO JUNDIAI - TOMANDO SENTIDO DAIA
2455-PAW,JEEP COMPASS LIMITED/ DF BRANCO - ROUBADO NO DF - PODE ESTAR EM ANAPOLIS
2467-OTQ,I/ CHERY QQ 1.0 - BRANCA - 2014/15 - ESTEVE NO ANA SHOPPING E PERGUNTO SE OS SEGURANÇAS USAM ARMA
2585-KEE,FIAT/ PALIO WEEKEND CINZA 00/00 INDIVIDUO ARMADO PRATICANDO 157
2776-JKN (DF),HONDA/CG 125 FAN PRETA 13/14 TEVE SUA PLACA FURTADA
2812-NFI,FIAT /PALIO ELX PLACA DE TRINDADE - ENVOLVIDO EM ROUBO DE CARGA NA REGIAO DE ANAPOLIS
2826-KEP,PEUGEOT 206 CINZA 2001 REALIZANDO FURTO EM RESIDENCIA
2917-PGN (MT),HYUNDAI/HB20 1.0M COMFOR 13/14. PRATA/8248 POSSIVEL CLONE
2999-NKO,FORD/FIESTA PRETO 09/09 POSSIVEL CLONE RODANDO NA CIDADE
2D54-NLN,VECTRA ELEGANCE PRETA 09/09 - INDIVIDUO ANDANDO ARMADO PELO BAIRRO DE LOURDES
2G64-RBK (CATALAO),YAMAHA / FZ25 FAZER 250 VERMELHA ANO 20/20 VEICULO CLONADO RODANDO EM ANAPOLIS
2H80-QXZ,FIAT CRONOS DRIVE PRETO 20/20 Possivel estelionato na localiza
2J44-PQZ,YAMAHA/MT07 BRANCA ANO 15/16 INDIVIDUO POSSIVELMENTE PORTANDO ARMA DE FOGO
3001-JFE (DF),HYUNDAI/HB20 HATCH 13/14 AZUL ESCURO - PRATICA DE 157
3013-OMO,VOYAGE PRETO 13/13 POSSIVELMENTE ARMADO
3048-NKF (GYN),HONDA/BIZ 08/08 AMARELA - CASAL FEZ 157 A PESSOA NA AREA DO 4BPM
3083-NWL,MOTOCICLETA FAN 150 VERMELHA ANO 2011 - TEVE A PLACA FURTADA
3155-KEV,TITAN VERMELHA 125 KS 02/02 PRATICOU 157 PEDRO LUDOVICO
3474-HQS (MS),VW/SAVEIRO CINZA 91/91 - INDIVIDUO ARMADO - POSSIVEL AUTOR DE 157 NO POLOCENTRO
3515-OGT,VW/FOX PRATA 12/13 PRODUTO DE 171 - RODANDO EM ANAPOLIS
3533-GWE,VW/GOL GIV BRANCA 08/09
3649-LLL (RJ),FIAT/PALIO WK CINZA 11/11 INDIVIDUOS ARMADOS
3717-OMT,HONDA/ CG TITAN 150 PRETA 12/13 TEVE SUA PLACA FURTADA NO DAIA
3757-KEP,HONDA/CG 125 TITAN VERM 02/02 UTILIZADA P/ PRATICA DE TRAF DE DROGAS NA REGIAO DO IAPC
