1,MARCA/MODELO,COR/MILHAR,ANO,ART,DATA,RAI RECUPERAÇÃO,DATA,,,,,,,
0007-PDM,TOYOTA/COROLLA XEI,PRATA/ 3439,20/21,155,26/05,20195468,08/07/21,,,,,,,
0023-NFZ,HONDA/C100 BIZ ES,VERM/1671,05/05,155,01/06,15266592,12/06/20,,,,,,,
0028-NKC,FIAT/STRADA ADVENTURE CD,PRATA/2565,10/10,157,03/09,16932059,30/10/20,,,,,,,
0032-KEM,HONDA/ C100 BIZ ,VERM/9279,01/02,155,10/04,25090603,08/06/22,,,,,,,
0044-JIT,HONDA/CG 150 FAN ESI,PRETA/5748,10/10,155,07/12,17413292,08/10/20,,,,,,,
0060-PQI,HONDA / HRV EXL,VERM/0962,19/20,157,10/08,11477290,10/08/19,,,,,,,
0081-PQQ,HONDA BIZ 125,BRANC/4354,16/16,155,10/05,19360856,10/05/21,,,,,,,
0087-ONF,MOTO TRAXX/JL50 Q-8,VERM/3476,13/14,157,19/05,25160534,13/06/22,,,,,,,
0092-JIY,HONDA /CG 125 FAN,PRETA/8176,11/12,157,28/11,24019329,29/03/22,,,,,,,
0127-PRV,HONDA BROS 160,BRANCA/5869,18/19,155,10/07,11405611,04/08/19,,,,,,,
0129-NFY,HONDA C100 BIZ ES,VERME/6200,04/05,155,05/02,18198118,09/02/21,,,,,,,
0131-JIB,FIAT/IDEIA ADVENTURE DUAL,CINZA7180,11//11,155,24/09,12112576,27/09/19,,,,,,,
0137-KCS,HONDA ML 125 ,AZUL/1465,87/88,155,25/12,28082949,04/01/23,,,,,,,
0142-NLD,HONDA/ CG 125 FAN KS,PRETA/8285,09/09,155,29/11,12922091,10/12/19,,,,,,,
0146- ONC,HONDA/ BIZ 125 ES,VERM/1961,13/14,155,16/02,28691891,18/02/23,,,,,,,
0150-NFP,FORD /FIESTA,PRATA/8597,04/05,155,12/1,8919852,12/01/20,,,,,,,
0156-JJW,HONDA/CG150 TITAN MIX ES,VERM/6090,09/09,155,17/12,27946283,26/12/22,,,,,,,
0158-BKD,M.BENZ/L-1123,VERMELHA/0527,78/79,157,6/11,8296108,10/11/19,,,,,,,
0205-KCC,HONDA/CG 125 TODAY,AZUL/6220,93/93,155,21/7,15732038,22/07/20,,,,,,,
0209-JEK,VW/GOL 1.0 ,VERM/1537,04/05,155,17/10,21652166,19/10/21,,,,,,,
0210-JGA,FORD ESCORT GL 1.6,PRATA/1362,01/01,157,15/10,16995828,04/10/20,,,,,,,
0217 -PAJ,FIAT PALIO ATRACT,BRANCA/8474,15/16,157,31/7,11846212,07/09/19,,,,,,,
0251-NFK,VW/GOL 1.0,BRANCA/9601,04/05,155,20/8,20800376,21/08/21,,,,,,,
0263-CHK,HONDA / CG 125 TITAN,AZUL/0342,96/96,155,23/12,27965818,26/12/22,,,,,,,
0263-KEM,VW/GOL 16V PLUS,PRATA/7622,01/02,155,21/10,32509661,22/10/23,,,,,,,
0274-KER,HONDA/C100 BIZ,VERELHA/3439,43498,157,1/4,9901684,09/04/19,,,,,,,
0277-PQC,HYUNDAI HB20S  1.0M CONF,BRANCA/9501,15/15,157,11/8,11521224,13/08/19,,,,,,,
0292-NJP,YAMAHA/T115 CRYPTON ED,VERME/4864,11/11,155,14/1,13911307,19/02/20,,,,,,,
0296-PQZ,HONDA/CG 160 START,PRETA/2205,2016,157,12/12,13084210,13/12/19,,,,,,,
0298-NKO,HONDA BIZ 125 ES,PRETA/ 1870,10/10,155,17/1,13497948,17/01/20,,,,,,,
0300-KDC,FORD ESCORT XR3,VERMELHA/1667,84/85,155,8/10,12268642,09/10/19,,,,,,,
0327-KEX,TOYOTA/COROLLA SEG 1.8 VVT,PRATA/0169,02/03,157,19/7,15709515,20/07/20,,,,,,,
0338-NGA,HONDA/BIZ 125 ES,VERME/0848,44352,155,1/8,20694406,13/08/21,,,,,,,
0346-JGL,VW VW/FOX 1.0 ,PRATA/0827,04/04,168,27/01,34113135,02/02/24,,,,,,,
0347-OVP,VW/VOYAGE 1.6 SELEÇAO,PRATA/7056,14/14,157,10/06,30487116,11/06/23,,,,,,,
0350-NJA,SR/GUERRA AG GR,BRANCA/0693,44050,157,14/10,16773885,17/10/20,,,,,,,
0379-HSK,HONDA/C100 BIZ +,PRATA/3086,03/04,155,25/01,28509137,03/02/23,,,,,,,
