placa,marcaModelo,corMilhar,ano,art,dataInfracao
0059-NFY,REB/ESPANHA BRASIL CF,AZUL/2004,04/04,155,15/03
0084-KBT,HONDA / CG 125,BRANCA/4243,81/81,155,30/05
0085-GZM,VW / GOL 1.6 POWER,PRATA/2592,03/03,155,04/10
0094-NEY,YAMAHA/XTZ 250X,PRETA/0372,08/08,155,15/12
0108-KBD,GM / CHEVETTE,BRANCA/8198,77/77,155,08/10
0146-ONC,HONDA/BIZ125 ES,VERM/1961,13/14,155,15/02
0157-NFP,HONDA/C100 BIZ ES,AZUL/6625,03/03,157,11/12
0187-OLM,HONDA/ CG 150 TITAN,VERM/3603,13/14,155,14/11
0235-NWL,HONDA/ CG 150 TITAN,PRETA/7855,11/11,155,15/02
0240-OCB (MT),I/LR DISCOVERY 4 3.0 SE,PRETA/0295,11/11,157,05/03
0241-OMW,REBOQUE/BANDEIRANTES JF1 500,BRANCA/1577,12/12,155,04/06
0253-KEJ,HONDA/C100 BIZ,VERM/7681,01/01,155,04/12
0255-NGV,SUNDOWN/WEB 100,PRATA/1176,07/07,155,18/04
0274-KEU,YAMAHA/CRYPTON T105E,VERDE/5271,02/02,155,10/03
0321-CRG,VW/ GOL ESPECIAL,BRANCO/2937,99/99,155,07/07
0340-MUL (SP),GM/MONZA SL/E 1.8,VERDE/1089,90/90,155,2/2
0381-KEG,HONDA/C100 BIZ ES,VERMELHA,01/01,155,14/05
0425-KBZ,VW/PARATI CL (NEROPOLIS),VERDE/2753,95/95,155,14/05
0426-PTO,HONDA/NXR160 BROS ESDD,VERM/2456,19/19,157,02/07
0426-PTO,HONDA NXR BROS 160 ESDD,VERM/2456,19/19,155,02/07
0441-NFT,HONDA/ C100+,PRATA/4525,05/05,155,24/12
0445-KCH,VW/ GOL CL,AZUL/8923,93/93,155,10/05
0451-NGE,HONDA/BIZ 125 ES,VERMELHA/2473,06/06,155,08/12
0453-NGY,HONDA CG 150 TITAN,PRATA/2776,07/07,168,19/07
0485-NWI,SUZUKI/125 YES,PRATA/7198,10/11,155,13/06
0527-ONO,GM / ONIX 1.4 MT LTZ,PRATA/9056,13/14,157,04/11
0542-OML,YAMAHA/FACTOR YBR 125 ED,VERM/6806,12/13,155,10/06
0551-KDH,HONDA/CG 125 TITAN,VERM/5424,97/98,155,18/10
0551-OOE,HONDA/CG 150 FAN ESDI,VERMELHA/8190,14/14,155,04/10
0556-HJB (SP),HONDA/FIT LX FLEX,CINZA/9769,08/08,155,16/08
0572-NFD,HONDA /CG125 TITAN ES,AZUL/3314,4/4,155,05/09
0575-NKL (GYN),HONDA/ BIZ 125 KS,VERM/7300,08/08,155,02/10
0592-KDF,HONDA/CG125 TITAN,VERDE/2567,97/97,155,09/09
0606-QDD (PA),HONDA/ NXR 160 BROS ESDD,VERM/9794,15/15,155,26/04
0614-KEJ,REB/GOIAS NAUTICA G20 C,PRETA/7171,00/00,155,10/06
0621-KDO,HONDA/CG 125 TITAN,VERM/2149,98/99,155,22/05
0652-NGL,HONDA/CG 150 TITAN ESD,PRETA/9999,6/6,155,24/05
0664-PTO,M.BENZ/ATEGO 3030,VERM/1141,19/20,157,23/01
0685-KFA,HONDA/CG 125 TITAN,VERM/8610,03/03,155,30/06
0686-NGM,YAMAHA/ YBR 125 K,VERM/0473,7/7,155,04/09
0702-OGS,YAMAHA/FACTOR YBR125 E,PRETA/8364,11/11,155,11/01
0725-KED,HONDA/TITAN 125 KS,VERM/8252,00/00,155,16/05
0735-NFO (SP),HONDA/C100 BIZ,PRETA/8774,05/05,155,18/07
0763-NKL,HONDA/CG125 FAN,AZUL/6299,02/02,155,03/05
0777-NMG,AUDI Q5 3.2 V6 FSI,BRANCA/3840,11,157,20/09
0784-JDV,VW GOL GL/,MARR/7154,88/89,155,04/02
0837-PUE (MG),RENAUT/SANDEIRO,BRANC/6735,14/14,155,28/10
0927-KBP,HONDA/CG 125,PRETA/7606,89/89,155,30/1
0927-NLM,VW GOL 1.0,PRETA/8713,10/10,155,15/01
0934-GSS,HONDA/ BIZ C.100,AMAR/2340,98/98,155,25/08
