ESTADO DE GOIÁS,,,,,,
SECRETARIA DE SEGURANÇA PÚBLICA E JUSTIÇA,,,,,,
POLÍCIA MILITAR DO ESTADO DE GOIÁS,,,,,,
3º COMANDO REGIONAL DE POLÍCIA MILITAR,,,,,,
31ª COMPANHIA INDEPENDENTE DE POLÍCIA MILITAR - CPE,,,,,,
,,,,,,
FROTA LOCADA E ACESSÓRIOS EXISTENTES NA CARGA DA 31ª CIPM/CPE,,,,,,
"                       Na qualidade de Comandante da 31ª CIPM, assumo a responsabilidade de usar e fazer usar com correção os bens, que estão lotados na carga desta UPM, os quais recebi nas formas previstas no Art. 108 combinado com Art. 136 parágrafo 1º, do Decreto 98.820 de 12 de Janeiro de 1990 (RAE), respondendo administrativa, disciplinar e juridicamente pela guarda, proteção dos bens abaixo.",,,,,,
QUANT.,TOMBAMENTO,ESTADO DE CONSERVAÇÃO,QTD.,ESPECIFICAÇÃO,VALOR,LOCALIZAÇÃO
1,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ2A38, PREFIXO 8.14153","0,00",LOCADA/TRANSPORTE/TITULAR
2,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ1I78, PREFIXO 8.14154","0,00",LOCADA/TRANSPORTE/TITULAR
3,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ1G18, PREFIXO 8.14156","0,00",LOCADA/TRANSPORTE/TITULAR
4,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ1D08, PREFIXO 8.14158","0,00",LOCADA/TRANSPORTE/TITULAR
5,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ0H88, PREFIXO 8.14159","0,00",LOCADA/TRANSPORTE/TITULAR
6,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCZ0G28, PREFIXO 8.14161","0,00",LOCADA/TRANSPORTE/TITULAR
7,N/C,BOM,1,"CHEVROLET/S10 LS DD4, PLACA SCY8G8, PREFIXO 8.15349","0,00",LOCADA/TRANSPORTE/TITULAR
8,N/C,BOM,1,"VW/POLO, PLACA SDL7G72, PREFIXO 8.14582","0,00",LOCADA/TRANSPORTE/TITULAR
9,N/C,BOM,1,"RENALT/DUSTER, PLACA SDI7I12, PREFIXO 8.15101","0,00",LOCADA/TRANSPORTE/TITULAR
,N/C,NOVO,3,HT portátil marca BAOFENG Dual Band FM Transceiver,--,RESERVA DE ARMAS
,N/C,INSERVIVEL,1,Rádio transceptor portátil marca ICOM modelo IC-V8 nº série 103463,--,ALMOXARIFADO
,N/C,INSERVIVEL,1,Rádio transceptor portátil marca ICOM modelo IC-V8 nº série 300266655,--,ALMOXARIFADO
,N/C,INSERVIVEL,1,Rádio transceptor portátil marca ICOM modelo IC-V85 nº série 1053324,--,ALMOXARIFADO
,0,INSERVÍVEL,1,Rádio Transceptor VHF ICOM IC-V80 - série 29003718-0,"0,00",ALMOXARIFADO
,0,INSERVÍVEL,1,Rádio Transceptor VHF ICOM IC-V80 - série 29004205-4,"0,00",ALMOXARIFADO
,555.390,INSERVÍVEL,1,Rádio transceptor VHF marca Motorola modelo PRO-5100 nº série 103TGEP160,"2100,00",ALMOXARIFADO
,N/C,INSERVÍVEL,1,Rádio Trasceptor VHF Motorola/EP450 (572323) sem Nº de série,"0,00",ALMOXARIFADO
,0,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572323) série 018NGE0056,"0,00",ALMOXARIFADO
,598.081,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572323) série 018NFY02Y0,"300,00",ALMOXARIFADO
,598.049,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572369) série 018NFY02TS,"30,00",ALMOXARIFADO
,598.125,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572382) série 018NFY02YP,"30,00",ALMOXARIFADO
,598.186,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572386) série 018NFY02YF,"30,00",ALMOXARIFADO
,599.494,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572397) série 018NFY03JM,"30,00",ALMOXARIFADO
,600.246,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572405) série 018NFY03JZ,"30,00",ALMOXARIFADO
,600.253,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572412) série 018NFY03LP,"30,00",ALMOXARIFADO
,600.590,INSERVÍVEL,1,Rádio Transceptor VHF Motorola/EP450 (572416) série 018NFY03LL,"30,00",ALMOXARIFADO
,N/C,DANIFICADO,1,Farol de Manejo RTFML 12V com cabo de 10 metros nº série 17090,--,ALMOXARIFADO
,N/C,DANIFICADO,1,Farol de Manejo RTFML 12V com cabo de 10 metros nº série 17091 ,--,ALMOXARIFADO
,N/C,DANIFICADO,1,Farol de Manejo RTFML 12V com cabo de 10 metros nº série 17093,--,ALMOXARIFADO
,N/C,DANIFICADO,1,Farol de Manejo RTFML 12V com cabo de 10 metros nº série 5555,--,ALMOXARIFADO
,,,,,,
,,,,"Base da 31ª CIPM/CPE, em Anápolis-GO, 05 de DEZEMBRO de 2025.",,
,,,,,,
,,,,Danisclay Ferreira Barros - 1º Tenente PM,,
,,,,Chefe do Almoxarifado,,
